deviceuid,timestamp,led_1_state,temperature_value,led_3_state,led_2_state,light_value,led_4_state,button_a_presses,button_b_presses,accelerometer_x,accelerometer_y,accelerometer_z,device_battery,accelerometer_mag
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:43:48.133909687+00:00,False,,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:43:48.134118885+00:00,,,,False,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:43:48.134351977+00:00,,,False,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:43:48.134526240+00:00,,,,,,False,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:43:48.134705075+00:00,,29.6,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:43:48.134902599+00:00,,,,,1024.0,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:43:49.489215681+00:00,,29.5,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:43:49.567254872+00:00,,29.4,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:43:49.583385995+00:00,,29.1,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:43:49.600168308+00:00,,28.6,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:43:49.617125047+00:00,,28.1,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:43:49.632739707+00:00,,27.7,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:43:49.650073520+00:00,,27.3,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:43:49.666737050+00:00,,27.0,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:43:49.683009484+00:00,,26.8,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:43:49.699550403+00:00,,26.7,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:43:49.717267602+00:00,,26.5,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:43:49.732694356+00:00,,26.3,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:43:49.749709525+00:00,,26.2,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:43:49.765765128+00:00,,26.1,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:48:29.418987386+00:00,,26.2,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:48:29.434000083+00:00,,26.3,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:48:29.450373990+00:00,,26.4,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:48:29.467380731+00:00,,26.6,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:48:29.484207863+00:00,,26.7,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:48:29.500694698+00:00,,26.9,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:48:29.517697845+00:00,,27.2,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:48:29.533883810+00:00,,27.6,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 15:48:29.550863194+00:00,,27.8,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:32:59.157135157+00:00,,27.9,,,,,,,,,,,0.0
1ba1ce6a-72a3-4372-bbea-afd966ad2767,2022-03-02 17:32:59.172372605+00:00,,28.0,,,,,,,,,,,0.0
